2025-04-08 20:46:05,812 - INFO - Successfully preprocessed 409_image.jpeg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:46:07,196 - INFO - Successfully preprocessed 643_image.jpeg - Original: 1156x867, Final: 1156x867, Orientation: 0°
2025-04-08 20:46:07,805 - INFO - Successfully preprocessed 114_image.jpg - Original: 720x1280, Final: 1280x720, Orientation: 90°
2025-04-08 20:46:08,664 - INFO - Successfully preprocessed 309_image.jpeg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:46:09,719 - INFO - Successfully preprocessed 358_image.jpg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:46:10,553 - INFO - Successfully preprocessed 616_image.jpeg - Original: 1280x720, Final: 1280x720, Orientation: 0°
2025-04-08 20:46:11,345 - INFO - Successfully preprocessed 143_image.jpeg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:46:12,748 - INFO - Successfully preprocessed 621_image.jpeg - Original: 1600x1200, Final: 1600x1200, Orientation: 0°
2025-04-08 20:46:13,466 - INFO - Successfully preprocessed 516_image.jpg - Original: 1280x960, Final: 1280x960, Orientation: 0°
2025-04-08 20:46:14,142 - INFO - Successfully preprocessed 420_image.jpg - Original: 1280x453, Final: 1280x453, Orientation: 0°
2025-04-08 20:46:14,742 - INFO - Successfully preprocessed 493_image.jpg - Original: 1024x487, Final: 1024x487, Orientation: 0°
2025-04-08 20:46:14,742 - INFO - Progress: 180/705 images processed
2025-04-08 20:46:15,368 - INFO - Successfully preprocessed 508_image.jpg - Original: 1599x692, Final: 1599x692, Orientation: 0°
2025-04-08 20:46:16,218 - INFO - Successfully preprocessed 111_image.jpeg - Original: 1200x1599, Final: 1599x1200, Orientation: 90°
2025-04-08 20:46:17,307 - INFO - Successfully preprocessed 18_image.jpeg - Original: 1599x1200, Final: 1599x1200, Orientation: 0°
2025-04-08 20:46:17,928 - INFO - Successfully preprocessed 164_image.jpg - Original: 720x167, Final: 720x167, Orientation: 0°
2025-04-08 20:46:19,054 - INFO - Successfully preprocessed 644_image.jpeg - Original: 1156x867, Final: 1156x867, Orientation: 0°
2025-04-08 20:46:19,839 - INFO - Successfully preprocessed 434_image.jpg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:46:20,707 - INFO - Successfully preprocessed 602_image.JPG - Original: 1280x958, Final: 1280x958, Orientation: 0°
